"LIFESTAGE","PREMIUM_CUSTOMER","total_customers","total_sales","total_transactions","avg_transactions_per_customer","avg_sales_per_customer"
"OLDER FAMILIES","Budget",4675,168363.25,23160,4.95401069518717,36.0135294117647
"YOUNG SINGLES/COUPLES","Mainstream",8088,157621.6,20854,2.57838773491592,19.4883283877349
"RETIREES","Mainstream",6479,155677.05,21466,3.31316561197716,24.0279441271801
"YOUNG FAMILIES","Budget",4017,139345.85,19122,4.76026885735624,34.6890341050535
"OLDER SINGLES/COUPLES","Budget",4929,136769.8,18407,3.73442889024143,27.7479813349564
"OLDER SINGLES/COUPLES","Mainstream",4930,133393.8,18318,3.71561866125761,27.0575659229209
"OLDER SINGLES/COUPLES","Premium",4750,132257.15,17753,3.73747368421053,27.8436105263158
"RETIREES","Budget",4454,113147.8,15201,3.41288729232151,25.4036371800629
"OLDER FAMILIES","Mainstream",2831,103445.55,14244,5.03143765453903,36.5402861179795
"RETIREES","Premium",3872,97646.05,13096,3.38223140495868,25.2185046487603
"YOUNG FAMILIES","Mainstream",2728,92788.75,12907,4.73130498533724,34.0134714076246
"MIDAGE SINGLES/COUPLES","Mainstream",3340,90803.85,11874,3.55508982035928,27.1867814371257
"YOUNG FAMILIES","Premium",2433,84025.5,11563,4.75256884504727,34.535758323058
"OLDER FAMILIES","Premium",2274,81958.4,11192,4.92172383465259,36.0415127528584
"YOUNG SINGLES/COUPLES","Budget",3779,61141.6,9242,2.44562053453295,16.1793066948928
"MIDAGE SINGLES/COUPLES","Premium",2431,58432.65,8216,3.37967914438503,24.0364664747018
"YOUNG SINGLES/COUPLES","Premium",2574,41642.1,6281,2.44017094017094,16.177972027972
"MIDAGE SINGLES/COUPLES","Budget",1504,35514.8,5020,3.33776595744681,23.6135638297872
"NEW FAMILIES","Budget",1112,21928.45,3005,2.7023381294964,19.7198291366906
"NEW FAMILIES","Mainstream",849,17013.9,2325,2.73851590106007,20.0399293286219
"NEW FAMILIES","Premium",588,11491.1,1589,2.70238095238095,19.5426870748299
